step,mu_hat,premium,mu_no_premium,sigma_hat,lo95,hi95,VaR99,actual,in_interval
1,0.3534,0.224,0.1294,1.1606,-1.9617,2.6684,2.5321,0.8955,True
2,0.4389,0.2287,0.2102,1.1728,-1.9006,2.7784,2.4769,0.637,True
3,0.4975,0.2334,0.2642,1.1846,-1.8655,2.8606,2.4477,0.2612,True
4,0.539,0.2379,0.3011,1.196,-1.8468,2.9248,2.4346,0.9554,True
5,0.5696,0.2423,0.3273,1.207,-1.8382,2.9773,2.4314,-0.786,True
6,0.5931,0.2466,0.3466,1.2177,-1.8359,3.0221,2.4343,1.8062,True
7,0.6122,0.2507,0.3614,1.2279,-1.8373,3.0617,2.4408,2.4863,True
8,0.6283,0.2548,0.3734,1.2379,-1.8411,3.0976,2.4494,3.3551,False
9,0.6424,0.2588,0.3836,1.2475,-1.8461,3.1309,2.4592,-0.7099,True
10,0.6551,0.2627,0.3925,1.2568,-1.8519,3.1622,2.4696,-0.3224,True
11,0.667,0.2664,0.4005,1.2658,-1.858,3.192,2.4801,2.1571,True
12,0.6781,0.2701,0.408,1.2745,-1.8643,3.2205,2.4906,2.4707,True
13,0.6887,0.2737,0.415,1.2829,-1.8705,3.2479,2.501,3.0778,True
14,0.6989,0.2772,0.4217,1.2911,-1.8766,3.2744,2.5111,2.1003,True
15,0.7087,0.2806,0.4281,1.299,-1.8825,3.3,2.5209,-1.433,True
16,0.7183,0.2839,0.4343,1.3067,-1.8883,3.3248,2.5305,0.4091,True
17,0.7275,0.2872,0.4404,1.3141,-1.8939,3.3489,2.5397,0.6032,True
18,0.7365,0.2903,0.4462,1.3213,-1.8992,3.3722,2.5486,1.8088,True
19,0.7452,0.2934,0.4518,1.3283,-1.9044,3.3949,2.5572,2.575,True
20,0.7538,0.2964,0.4574,1.3351,-1.9094,3.4169,2.5655,2.4329,True
21,0.762,0.2993,0.4627,1.3416,-1.9142,3.4383,2.5736,0.5927,True
22,0.7701,0.3022,0.468,1.348,-1.9189,3.4591,2.5813,2.1231,True
23,0.778,0.3049,0.4731,1.3542,-1.9233,3.4793,2.5888,1.679,True
24,0.7857,0.3076,0.478,1.3602,-1.9276,3.4989,2.5961,0.91,True
25,0.7931,0.3103,0.4829,1.366,-1.9317,3.518,2.6031,-1.209,True
26,0.8004,0.3129,0.4876,1.3717,-1.9357,3.5366,2.6098,1.0958,True
27,0.8075,0.3154,0.4922,1.3771,-1.9396,3.5546,2.6164,3.3871,True
28,0.8145,0.3178,0.4967,1.3825,-1.9433,3.5722,2.6227,1.2007,True
29,0.8212,0.3202,0.501,1.3876,-1.9468,3.5893,2.6288,-0.8081,True
30,0.8278,0.3225,0.5053,1.3927,-1.9503,3.6059,2.6347,0.8486,True
31,0.8342,0.3248,0.5094,1.3975,-1.9536,3.622,2.6404,-1.1259,True
32,0.8405,0.327,0.5135,1.4023,-1.9568,3.6377,2.646,3.0083,True
33,0.8466,0.3291,0.5174,1.4069,-1.9599,3.653,2.6513,1.9091,True
34,0.8525,0.3312,0.5213,1.4114,-1.9629,3.6679,2.6565,1.3193,True
35,0.8583,0.3333,0.525,1.4157,-1.9658,3.6823,2.6615,1.2575,True
36,0.8639,0.3353,0.5287,1.4199,-1.9685,3.6964,2.6664,0.0617,True
37,0.8694,0.3372,0.5322,1.424,-1.9712,3.7101,2.6711,0.5055,True
38,0.8748,0.3391,0.5357,1.428,-1.9738,3.7234,2.6756,1.9106,True
39,0.88,0.341,0.5391,1.4319,-1.9763,3.7364,2.6801,0.834,True
40,0.8851,0.3427,0.5424,1.4357,-1.9788,3.749,2.6843,2.0427,True
41,0.8901,0.3445,0.5456,1.4393,-1.9811,3.7613,2.6885,1.3291,True
42,0.8949,0.3462,0.5487,1.4429,-1.9834,3.7732,2.6925,1.7278,True
43,0.8996,0.3479,0.5518,1.4464,-1.9856,3.7849,2.6964,-0.7815,True
44,0.9042,0.3495,0.5547,1.4498,-1.9877,3.7962,2.7002,0.1806,True
45,0.9087,0.3511,0.5576,1.453,-1.9898,3.8072,2.7039,0.0258,True
46,0.9131,0.3526,0.5605,1.4562,-1.9918,3.8179,2.7074,-1.0843,True
47,0.9174,0.3541,0.5632,1.4593,-1.9937,3.8284,2.7109,-2.9307,False
48,0.9215,0.3556,0.5659,1.4623,-1.9956,3.8386,2.7142,-0.9464,True
49,0.9256,0.357,0.5685,1.4653,-1.9974,3.8485,2.7175,-1.0589,True
50,0.9295,0.3584,0.5711,1.4681,-1.9991,3.8581,2.7206,-1.5675,True
51,0.9333,0.3598,0.5736,1.4709,-2.0008,3.8675,2.7237,0.3475,True
52,0.9371,0.3611,0.576,1.4736,-2.0025,3.8766,2.7267,-0.0549,True
53,0.9407,0.3624,0.5784,1.4762,-2.004,3.8855,2.7296,0.5457,True
54,0.9443,0.3636,0.5807,1.4788,-2.0056,3.8942,2.7324,2.9795,True
55,0.9478,0.3649,0.5829,1.4813,-2.0071,3.9027,2.7351,1.0572,True
56,0.9512,0.3661,0.5851,1.4837,-2.0085,3.9109,2.7377,-0.4006,True
57,0.9545,0.3672,0.5872,1.4861,-2.0099,3.9189,2.7403,1.0045,True
58,0.9577,0.3684,0.5893,1.4884,-2.0113,3.9267,2.7428,1.7645,True
59,0.9608,0.3695,0.5913,1.4906,-2.0126,3.9343,2.7452,0.3497,True
60,0.9639,0.3706,0.5933,1.4928,-2.0139,3.9417,2.7475,1.4186,True
